text,result,queryID
"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .
",184|29|31|12|51|102|13|14|15|57|378|859|185|30|37|52|142|195|875|56|66|95|462|497|858|876|879|880,1
"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .
",12|15|184|858|51|102|202|14|52|380|746|859|948|285|390|391|442|497|643|856|857|877|864|658,2
"what problems of heat conduction in composite slabs have been solved so
far .
",236|166,4
"can a criterion be developed to show empirically the validity of flow
solutions for chemically reacting gas mixtures based on the simplifying
assumption of instantaneous local chemical equilibrium .
",48|122|20|58|196|354|360|197|999|1112|1005,8
"what chemical kinetic system is applicable to hypersonic aerodynamic
problems .
",21|22|550,9
"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .
",259|405|302|436|437|438|998|1011,10
"is it possible to relate the available pressure distributions for an
ogive forebody at zero angle of attack to the lower surface pressures of
an equivalent ogive forebody at angle of attack .
",86|194|650|649|652,12
"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.
",64|265|65|311,13
"papers on internal /slip flow/ heat transfer studies .
",463|462,15
"are real-gas transport properties for air available over a wide range of
enthalpies and densities .
",196|197|198,18
"is it possible to find an analytical,  similar solution of the strong
blast wave problem in the newtonian approximation .
",68,22
"how can the aerodynamic performance of channel flow ground effect
machines be calculated .
",900|902|200|201|601|899|903|593|199|594|901|544|597|749|917|919|1333|634|687|698|1290|700|704|705|1109|1112|1141|1197|1256|1259|1272|1289,23
"what is the basic mechanism of the transonic aileron buzz .
",145|611|376|406|565|1076,26
"papers on shock-sound wave interaction .
",224|278|428,27
"material properties of photoelastic materials .
",250|514|609|225|793|464|465|612|466,29
"can the transverse potential flow about a body of revolution be
calculated efficiently by an electronic computer .
",776,31
"can the three-dimensional problem of a transverse potential flow about
a body of revolution be reduced to a two-dimensional problem .
",465|249|777|778|247|250,32
"are experimental pressure distributions on bodies of revolution at angle
of attack available .
",252|431|141,33
"does there exist a good basic treatment of the dynamics of re-entry
combining consideration of realistic effects with relative simplicity of
results .
",252|431|672|714|799|800,34
"has anyone formally determined the influence of joule heating,  produced
by the induced current,  in magnetohydrodynamic free convection flows
under general conditions .
",166|167|132,35
"why does the compressibility transformation fail to correlate the high
speed data for helium and air .
",272|555|24|283|552|79|207|418|557|554|556|505|1257,39
"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .
",24|283|552|272|85|976|557|558|553|554|555|556,40
"what progress has been made in research on unsteady aerodynamics .
",288|289|433,41
"what are the factors which influence the time required to invert large
structural matrices .
",320|478,49
"does a practical flow follow the theoretical concepts for the
interaction between adjacent blade rows of a supersonic cascade .
",326|629|21|94|22|306,50
"what is a single approximate formula for the displacement thickness of
a laminar boundary layer in compressible flow on a flat plate .
",94|23|105|381|192|326|63|494|629|261,51
"how is the design of ring or part ring wings by linear theory affected
by thickness .
",21|22|306|326,52
"what application has the linear theory design of curved wings .
",296|33|446|447|448|449|208|297|298|299,53
"what is the effect of cross sectional shape on the flow over simple
delta wings with sharp leading edges .
",84|24|101|294|628|661|364|365|560,54
"papers on flow visualization on slender conical wings .
",16|375|460|378|255|271|376|377|562|502,55
"what size of end plate can be safely used to simulate two-dimensional
flow conditions over a bluff cylindrical body of finite aspect ratio .
",380|749|1339|14|705|779|780|379|643|686,56
"to find an approximate correction for thickness in slender thin-wing
theory .
",380|593|746|914|14|379|705|779|780|704|12|15|857|859,57
"how do interference-free longitudinal stability measurements (made
using free-flight models) compare with similar measurements made in
a low-blockage wind tunnel .
",788|785|786|787|23|381|382|784|789,58
"have wind tunnel interference effects been investigated on a systematic
basis .
",788|785|786|787,59
"are there any papers dealing with acoustic wave propagation in reacting
gases .
",565|566|564|1159|661,61
"has anyone investigated relaxation effects on gaseous heat transfer to a
suddenly heated wall .
",566|567|1084|1078|1081,62
"are there any theoretical methods for predicting base pressure .
",664|629|180|659|660,66
"does transition in the hypersonic wake depend on body geometry and size
",2|3|664|629|323|324|393|128|180|394|659|389|4|1302,67
"how can one detect transition phenomena in boundary layers .
",662|101|460|661|62,68
"how can one detect transition phenomena in hypersonic wakes .
",458|570|977|62|336,69
"has anyone investigated and developed a simple model for the vortex
wake behind a cruciform wing .
",569|571|1355|101|655|1213|798|572,71
"what is a criterion that the transonic flow around an airfoil with a
round leading edge be validly analyzed by the linearized transonic flow
theory .
",21|324|630|94|664|304|128|323|663|570|494|305|309|571|655|388|62,72
"can the transonic flow around an arbitrary smooth thin airfoil be
analysed in a simple approximate way .
",576|656|575|317|574|578,74
"what are the details of the rigorous kinetic theory of gases .
(chapman-enskog theory) .
",597|598|688|708|713,79
"has anyone investigated the effect of surface mass transfer on
hypersonic viscous interactions .
",594|597|596|598,80
"what is the combined effect of surface heat and mass transfer on
hypersonic flow .
",672|799,81
"what are the existing solutions for hypersonic viscous interactions over
an insulated flat plate .
",676|677|678|679|205,82
"what controls leading-edge attachment at transonic speeds .
",680|681|682|683,83
"can the three-point boundary-value problem for the blasius equation
be integrated numerically,  using suitable transformations,  without
iteration on the boundary conditions .
",606|406|608|142|294|354|522|962|1192|1213|873,84
"what are the effects of small amounts of gas rarefaction on the
characteristics of the boundary layers on slender bodies of revolution .
",608|406|606|710,85
"what is the available information pertaining to boundary layers on very
slender bodies of revolution in continuum flow (the ?transverse
curvature  effect) .
",594|790,86
"what is the available information pertaining to the effect of slight
rarefaction on boundary layer flows (the ?slip? effect) .
",606|611|562|50|236|609|612|406,87
"what investigations have been made of the flow field about a body moving
through a rarefied,  partially ionized gas in the presence of a magnetic
field .
",691,93
"how is the heat transfer downstream of the mass transfer region effected
by mass transfer at the nose of a blunted cone .
",24|283|294|559|689|690|101|1393|354|1104|1161|1395,94
"to what extent can the available information for incompressible boundary
layers be applied to problems involving compressible boundary layers .
",283|662,95
"to what extent can readily available steady-state aerodynamic data be
utilized to predict lifting-surface flutter characteristics .
",699|700|701|698|1289|702|703|779|1339|681,97
"what are the significant steady and non-steady flow characteristics
which affect the flutter mechanism .
",713|708|709|711|712,98
"is it possible to determine rates of forced convective heat transfer
from heated cylinders of non-circular cross-section,  (the fluid flow
being along the generators) .
",717|719|1001|1379,99
"how much is known about boundary layer flows along non-circular
cylinders .
",821|822|824|820|823|825|1122|1051|1121,100
"is there any simple,  but practical,  method for numerical integration
of the mixing problem (i.e. the blasius problem with three-point
boundary conditions) .
",817|818|819|820|825|824,101
"does there exist a closed-form expression for the local heat transfer
around a yawed cylinder .
",728|913|910|911,102
"how far around a cylinder and under what conditions of flow,  if any,
is the velocity just outside of the boundary layer a linear function of
the distance around the cylinder .
",826|828,103
"where can i find pressure data on surfaces of swept cylinders .
",833|834|835|836|837,104
"can't the static deflection shapes be used in predicting flutter in
place of vibrational shapes . if so,  can we provide a justification by
means of an example .
",848|844|845|846|847,105
"does the boundary layer on a flat plate in a shear flow induce a
pressure gradient .
",847|846|849|844|845,106
"can the procedure of matching inner and outer solutions for a viscous
flow problem be applied when the main stream is a shear flow .
",725|728|729|911|720|75|909,107
"can series expansions be found for the boundary layer on a flat plate in
a shear flow .
",724|726|727|75|909|720|723,108
"what possible techniques are available for computing the injection
distribution corresponding to an isothermal transpiration cooled
hemisphere .
",860|861|606|980|12,109
"what is known regarding asymptotic solutions to the exact boundary layer
equations .
",862|863|31|1174,110
"previous solutions to the boundary layer similarity equations .
",15|391|864|914|392|627|658,111
"experimental results on hypersonic viscous interaction .
",731|730,112
"what has been done about viscous interactions in relatively low reynolds
number flows,  particularly at high mach numbers .
",746|748|749|265,113
"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies .
",919|916|920|921,114
"how significant is the possible pressure of a dissociated free stream
with respect to the realization of hypersonic simulation in high
enthalpy wind tunnels .
",922|360|605|927|492,116
"do the discrepancies among current analyses of the vorticity effect
on stagnation-point heat transfer result primarily from the
differences in the viscosity-temperature law assumed .
",923|924|925,118
"how far can one trust the linear viscosity-temperature solution
assumed in some of the analyses of hypersonic shock layer at low
reynolds number .
",926,119
"how close is the comparison of the shock layer theory with existing
experiments in the low reynolds number (merged-layer) regime .
",829|887|890|885|886|888|889|1146|891,120
"has anyone explained the kink in the surge line of a multi-stage
axial compressor .
",885|886|1146|887|888|890|891,121
"have any aerodynamic derivatives been measured at hypersonic mach
numbers and comparison been made with theoretical work .
",931|932|934|935|936|937|938|957|1131,122
"are methods of measuring aerodynamic derivatives available which
could be adopted for use in short running time facilities .
",966|967,123
"what are wind-tunnel corrections for a two-dimensional aerofoil
mounted off-centre in a tunnel .
",974|1326|187|969|970|971|972|973,126
"how do kuchemann's and multhopp's methods for calculating lift
distributions on swept wings in subsonic flow compare with each other and with
experiment .
",985|990,128
"what is the present state of the theory of quasi-conical flows .
",766|858|859|1008|12,130
"references on the methods available for accurately estimating
aerodynamic heat transfer to conical bodies for both laminar and turbulent
flow .
",1014|1020|1013|1016|1017|1012|1018|1019,131
"what parameters can seriously influence natural transition
from laminar to turbulent flow on a model in a wind tunnel .
",1014|1013|1015|1016|1012|1018|1019|1017|951|1023|1020|952|1024|1025|1026,132
"can a satisfactory experimental technique be developed for measuring
oscillatory derivatives on slender sting-mounted models in supersonic
wind tunnels .
",1020|1018|1019|1024|1012|1016|1022,133
"what effect has the boundary layer in modifying the basic inviscid flow
behind the shock,  neglecting effects of leading edge and corner .
",1018|1017|1023|1024|1025|1026|950|1016,135
"how does a satellite orbit contract under the action of air drag in
an atmosphere in which the scale height varies with altitude .
",1021|1022|1034,136
"how is the flow at transonic speeds about a delta wing different
from that on a closely-related tapered sweptback wing .
",1029|1034|951|1021,137
"recent data on shock-induced boundary-layer separation .
",846|1036,138
"what interference effects are likely at transonic speeds .
",1031|1032|1035|1037,139
"given complete freedom in the design of an airplane,  what procedure
would be used in order to minimize sonic boom intensity,  and is there a
limit to the degree of minimizing that can be accomplished .
",1038|1039|1041|1042|1043|1044,140
"can methane-air combustion product be used as a hypersonic test
medium and predict, within experimental accuracies, the results
obtained in air .
",1038|1041|1043|1044|1039|1042,141
"what is the theoretical heat transfer rate at the stagnation point of a
blunt body .
",1042,142
"what is the theoretical heat transfer distribution around a hemisphere .
",1043|1044,143
"has anyone investigated the unsteady lift distributions on finite
wings in subsonic flow .
",763|838|839|1045|743|852|841,145
"what information is available for dynamic response of airplanes to
gusts  or blasts in the subsonic regime .
",840|1045,146
"will forward or apex located controls be effective at low subsonic
speeds and how do they compare with conventional trailing-edge
flaps .
",889|1046|1048|1047|1049|1051|1050|843|926|822,147
"given that an uncontrolled vehicle will tumble as it enters an
atmosphere, is it possible to predict when and how it will stop
tumbling and its subsequent motion .
",889|1048|1050|1046|1049|843,148
"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .
",1057|1058|1059|1052|930|931|934|936|937|938|1131,149
"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .
",1074|1075,150
"basic dynamic characteristics of structures continuous over many spans .
",1076|1077|569|572|687|655,152
"is the information on the buckling of sandwich sphere available .
",1078|1083|1084|1080|1081|1082|1085,153
"can the load deformation characteristics of a beam be obtained with the
material being inelastic and a non uniform temperature being present .
",1087|1088,154
"what is the effect of an internal liquid column on the breathing
vibrations of a cylindrical shell .
",1103|1100|983|1101|1104|1099,155
"experimental techniques in shell vibration .
",983|1102|1097|1100|274|1096|1098|1099|1103|982|1104|553|1101|82,156
"in summarizing theoretical and experimental work on the behaviour of a
typical aircraft structure in a noise environment is it possible to
develop a design procedure .
",273|1105|1106|93|161|302|122|666|1107|556|25|1011|19|35|1355|372|410|456|36|44|215|626|1151|354|369|370|421|557|605|655|657|689|1307|318|423|1304|160|482|572,157
"what data is there on the fatigue of structures under acoustic loading .
",302|1011|552|998|1009|1010|273|556,158
"panels subjected to aerodynamic heating .
",1134|1137|1138|1135|1136,160
"can increasing the edge loading of a plate beyond the critical value for
buckling change the buckling mode .
",54|1386|562|336|55|996,161
"have the effects of an elastic edge restraint been considered in
previous papers on panel flutter .
",20|56|57,163
"has the solution of the clamped plate problem,  in the classical theory
of bending,  been reduced to two successive membrane boundary value
problems .
",311|415|416|798|316|335|1364|1367,164
"what data exists on oscillatory aerodynamic forces on control surfaces
at transonic mach numbers .
",71|72,165
"it is not likely that the airforces on a wing of general planform
oscillating in transonic flow can be determined by purely analytical
methods . is it possible to determine the airforces on a single
particular planform, such as the rectangular one by such method .
",274|82,167
"is the problem of similarity for representative investigations of
aeroelastic effects in heated flow as intractable as previous investigations
imply .
",217|774,168
"what is the magnitude and distribution of lift over the cone and the
cylindrical portion of a cone-cylinder configuration .
",118|157|774|775,169
"is there any information on how the addition of a /boat-tail/ affects
the normal force on the body of various angles of incidence .
",139|238|239|904|906|672,170
"what are the aerodynamic interference effects on the fin lift and body
lift of a fin-body combination .
",252|431|141,171
"what is the effect of initial axisymmetric deviations from circularity
on the non linear (large-deflection) load-deflection response of
cylinders under hydrostatic pressure .
",367|451,173
"are previous analyses of circumferential thermal buckling of circular
cylindrical shells unnecessarily involved or even inaccurate due to the
assumed forms of buckling mode .
",351|966|967|964|965,175
"what papers are there dealing with circumferential buckling either
thermal buckling or due to mechanical loading .
",582|583|584|585|978|586|982,176
"what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .
",588|589|592|772|590,177
"has any work been done on determining the nature of compressible
viscous flow in a straight channel .
",973|974|409|997|1061,181
"in what areas, other than low density wind tunnel flows, is viscous
compressible flow in slender channels a problem .
what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .
",685|686,182
"jet interference with supersonic flow  -dash experimental papers .
",803|808|802|807|811|253|804|805|806|809|810|1243|1247,183
"thrust vector control by fluid injection -dash papers .
",32|67|715|717|716|499|1379,184
"is it possible to obtain a reasonably simple analytical solution to the
heat equation for an exponential (in time) heat input .
",838|839|840|743|842|1045,187
"has anyone programmed a pump design method for a high-speed digital
computer .
",395|866|869|865|868|870|867|872|873,189
"has anyone derived simplified pump design equation from the fundamental
three-dimensional equations for incompressible nonviscous flow .
",15|391|285|390|864,190
"what are the flutter characteristics of the exposed skin panels of the
x-15 vertical stabilizer when subjected to aerodynamic heating .
",51|185|874|878|879|880|12|875|876|202|746|13,196
"what agreement is found between theoretically predicted instability
times and experimentally measured collapse times for compressed columns
in creep .
",1134|1137|1138,200
"theoretical studies of creep buckling .
",552|625|1296|93|1151|401|110|1391|423|541|1295|318|1304|160|369|482,201
"experimental studies of creep buckling .
",1303|1304|1309|1306|1308|605|602|603|604|1110|1305|1310|48|232,202
"is it possible to correlate the results on the creep buckling of widely
different structures within the framework of a single theory .
",58|1305|1306|602|603|604|1307|1310|19|232|323|688|122|1188,203
"what are the experimental results for the creep buckling of columns .
",572|1311|63|540|602|603|604|1305|1188|307|1213|655|1355|68,204
"what are the results for the creep buckling of round tubes under
external pressure .
",1321|1322,205
"have any analytical studies been conducted on the time-to-failure
mechanism associated with creep collapse for a long circular cylindrical
shell which exhibits both primary and secondary creep as well as elastic
deformations under various distributed force systems .
",1338|1341|1340,206
"has the effect of initial stresses,  on the frequencies of vibration of
circular cylindrical shells,  been investigated .
",163|1344|1345|164|1347|1346,208
"has the effect of the change of initial pressure due to deformation,  on
the frequencies of vibration of circular cylindrical shells been
investigated .
",1351|1356|1350|187|487|45|55|316|1383|1385|1106|1228,209
